brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
HP	DIN A4 (210 x 297 mm)	weiss	500	90	6.044664	7.297372817993164
Unbekannt	DIN A4 (210 x 297 mm)	korallenrot	500	80	7.5748835	9.559041023254395
Mondi	unknown	weiss	500	100	23.624325	17.19376564025879
HP	DIN A3 (297 x 420 mm)	unknown	100	120	38.222190000000005	27.40699005126953
projectiondesign	DIN A3 (297 x 420 mm)	weiss	250	160	17.067520000000002	15.159835815429688
Steinbeis Papier	DIN A4 (210 x 297 mm)	weiss	500	80	9.75	4.420319080352783
Clairefontaine	unknown	gelb	500	80	10.763010000000001	11.008963584899902
Arjowiggins	unknown	ziegelrot	100	170	8.905502	19.40607452392578
Igepa	DIN A4 (210 x 297 mm)	weiss	500	70	7.0216985	1.8162751197814941
Multicopy	DIN A3 (297 x 420 mm)	weiss	500	80	9.6387825	16.1766357421875
Mondi	DIN A4 (210 x 297 mm)	gruen	500	80	7.5224338	6.55088472366333
Data Copy	DIN A5 (148 x 210 mm)	weiss	500	80	2.9299996	3.4566144943237305
Mondi	DIN A3 (297 x 420 mm)	weiss	500	80	10.245467	9.529922485351562
Staples	DIN A3 (297 x 420 mm)	mittelblau	500	80	9.633858	9.878525733947754
Mondi	unknown	wasserblau	250	160	9.749175	16.430171966552734
Clairefontaine	DIN A4 (210 x 297 mm)	blau	100	80	2.6517463	4.430180549621582
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	100	200	14.620885000000001	20.90672492980957
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	5.6856523	9.780723571777344
Optibelt	DIN A4 (210 x 297 mm)	rot	25	120	4.492766400000001	5.145716190338135
Herlitz	unknown	unknown	unknown	unknown	2.8516667	47.958045959472656
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	60	160	23.44985	18.96067237854004
Clairefontaine	DIN A3 (297 x 420 mm)	korallenrot	500	80	10.449167	12.526347160339355
Sigel	unknown	weiss	4	200	3.8133333	18.53365707397461
Clairefontaine	unknown	blau	250	120	5.8547945	11.74288272857666
Xerox	DIN A3 (297 x 420 mm)	unknown	250	120	11.069167	18.082921981811523
UPM	DIN A3 (297 x 420 mm)	weiss	500	75	12.164166999999999	6.6811933517456055
Yes	DIN A3 (297 x 420 mm)	weiss	500	80	12.391250999999999	9.03736400604248
Sigel	unknown	weiss	4	260	6.9594119999999995	13.072016716003418
Rainbow	DIN A5 (148 x 210 mm)	blau	200000	80	1272.1844	6.018136978149414
Mondi	DIN A4 (210 x 297 mm)	weiss	250	220	10.498542	10.199886322021484
Mondi	unknown	weiss	125	300	5.193333	12.105931282043457
Schaefer Group	DIN A3 (297 x 420 mm)	weiss	2500	unknown	36.574093	18.82828712463379
Steinbeis Papier	DIN A3 (297 x 420 mm)	unknown	500	80	11.046664999999999	8.452651977539062
Arjowiggins	unknown	rot	100	170	19.250256	9.040863990783691
UPM	DIN A4 (210 x 297 mm)	weiss	500	75	6.6900015	3.5072684288024902
