brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Clairefontaine	DIN A4 (210 x 297 mm)	violett	100	80	4.563750700000001	4.417201519012451
Sigel	DIN A4 (210 x 297 mm)	weiss	200	160	14.869307000000001	12.955415725708008
Staufen	DIN A4 (210 x 297 mm)	blau	25	160	1.8760976000000003	2.325460433959961
Papier Union	unknown	aqua	100	240	48.85685	7.013125419616699
Clairefontaine	DIN A4 (210 x 297 mm)	gruen	250	160	5.2583337	8.512396812438965
Clairefontaine	DIN A4 (210 x 297 mm)	beige	250	160	4.935417	5.366671562194824
Clairefontaine	DIN A4 (210 x 297 mm)	elfenbein	500	80	4.763333	6.318480014801025
Clairefontaine	DIN A4 (210 x 297 mm)	beige	500	80	4.603333	6.0666093826293945
Xerox	DIN A4 (210 x 297 mm)	weiss	2500	75	19.183332	9.20865249633789
HP	unknown	unknown	unknown	unknown	136.88785	75.08660125732422
Papier Union	unknown	aqua	100	90	2.4199996	20.779993057250977
Multicopy	DIN A4 (210 x 297 mm)	weiss	500	90	6.790953599999999	9.65952205657959
Balance	DIN A4 (210 x 297 mm)	hochweiss	500	80	5.098024400000001	4.0336480140686035
Papier Union	unknown	elfenbein	100	400	48.96857	97.37255096435547
Arjowiggins	unknown	aprikose	100	240	22.433004	11.092636108398438
Papyrus	DIN A4 (210 x 297 mm)	orange	250	160	8.428802000000001	23.076574325561523
Double A	DIN A3 (297 x 420 mm)	weiss	500	90	10.765219	16.339712142944336
Clairefontaine	DIN A3 (297 x 420 mm)	orange	500	80	10.449167	12.32698917388916
Xerox	DIN A4 (210 x 297 mm)	weiss	250	280	12.832918	9.911073684692383
Clairefontaine	DIN A4 (210 x 297 mm)	orange	100	80	3.5362122000000005	5.143074035644531
Canon	unknown	weiss	100	170	10.597188000000001	14.799758911132812
Trophée Color	DIN A3 (297 x 420 mm)	gelb	500	80	27.46538	8.401247024536133
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	500	80	6.596161	5.0704169273376465
Xerox	DIN A4 (210 x 297 mm)	weiss	2500	75	18.240004000000003	9.20865249633789
Clairefontaine	DIN A4 (210 x 297 mm)	rosa	250	210	11.716667	18.828691482543945
Image	DIN A4 (210 x 297 mm)	weiss	250	200	11.337916	12.628292083740234
Elco	DIN A4 (210 x 297 mm)	chamois	100	80	4.2870836	5.759860515594482
Staples	DIN A4 (210 x 297 mm)	rosa	500	80	5.637221299999999	7.095688819885254
Clairefontaine	DIN A4 (210 x 297 mm)	sand	250	120	6.753913400000001	8.270096778869629
Xerox	DIN A3 (297 x 420 mm)	weiss	125	300	14.071251	20.236427307128906
Xerox	DIN A4 (210 x 297 mm)	weiss	250	160	5.9400744	7.527800559997559
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	250	160	5.208749299999999	6.388828277587891
Clairefontaine	DIN A4 (210 x 297 mm)	rot	1000	160	42.898846	18.564313888549805
Staufen	DIN A4 (210 x 297 mm)	gelb	35	120	1.8778048999999999	1.599306344985962
Papyrus	unknown	weiss	250	160	6.614279700000001	6.203959941864014
Clairefontaine	unknown	weiss	250	120	12.023503	10.255834579467773
Igepa	DIN A3 (297 x 420 mm)	chamois	250	120	26.260487	29.544164657592773
