set_id,price,brand,Format,Farbe,Verpackungseinheit,Papierstaerke
6496172,2.2241666,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),weiss,25,160
9065222,5.387144,Lyreco,DIN A4 (210 x 297 mm),blau,500,80
7642662,14.02025,Clairefontaine,DIN A3 (297 x 420 mm),weiss,125,300
16115194,4.195834,Team Group,DIN A4 (210 x 297 mm),weiss,500,80
13551454,5.466154,RecyStar,DIN A4 (210 x 297 mm),rot,500,80
7128708,11.585218,Papyrus,DIN A4 (210 x 297 mm),weiss,500,80
1736397,57.510002,HP,unknown,hochweiss,unknown,unknown
9545136,3.315278,Unbekannt,DIN A4 (210 x 297 mm),weiss,100000,80
5707175,67.171074,Papier Union,unknown,elfenbein,100,320
8751526,11.8,Clairefontaine,DIN A4 (210 x 297 mm),rot,250,210
1994749,8.831876,Staples,unknown,unknown,50,270
4660100,48.828888,CreativPapier,DIN A4 (210 x 297 mm),weiss,500,90
9971483,9.319663,Papyrus,DIN A3 (297 x 420 mm),weiss,500,80
563292,10.0441675,Xerox,DIN A4 (210 x 297 mm),weiss,125,350
4470604,4.5372725,Xerox,DIN A4 (210 x 297 mm),hochweiss,500,80
7454195,17.1215,Papier Union,DIN A4 (210 x 297 mm),goldgelb,unknown,320
9262544,5.608072,Papyrus,DIN A4 (210 x 297 mm),hellrosa,250,120
8805103,17.469435,Schaefer Group,unknown,unknown,2500,unknown
6854333,3.6275003,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),chamois,35,120
6035086,6.3890476,Mondi,DIN A4 (210 x 297 mm),neongelb,50,80
11187654,4.524722,Soennecken,DIN A5 (148 x 210 mm),weiss,250,160
11735222,4.2850003,Elco,DIN A4 (210 x 297 mm),rot,100,80
14478993,7.4806376,Papyrus,DIN A4 (210 x 297 mm),weiss,250,120
7094879,3.811191,Clairefontaine,DIN A4 (210 x 297 mm),gelb,50,160
7457256,41.60085,Papier Union,unknown,creme,100,120
10537520,5.5548906,Papyrus,DIN A4 (210 x 297 mm),lachs,250,unknown
6782269,12.138001,Clairefontaine,unknown,grau,250,160
7822576,211.52815,Igepa,DIN A1 (594 x 841 mm),kanariengelb,1000,80
5839797,48.848564,Papier Union,unknown,hellblau,100,240
4751341,10.674999,Xerox,unknown,weiss,500,80
15800287,5.1475143,Clairefontaine,DIN A4 (210 x 297 mm),unknown,50,120
6952065,4.131918,Clairefontaine,DIN A4 (210 x 297 mm),weiss,500,70
2909069,32.330894,Biotop 3,DIN A4 (210 x 297 mm),weiss,2500,80
13766146,13.020001,Inapa,DIN A4 (210 x 297 mm),weiss,2500,80
7457248,5.134501,Papier Union,unknown,creme,100,120
1209280,10.548221,Portucel Soporcel,DIN A3 (297 x 420 mm),weiss,500,80
4067700,24.26523,Papyrus,DIN A4 (210 x 297 mm),gruen,250,160
2997678,23.99706,Sigel,DIN A4 (210 x 297 mm),weiss,100,170
2377367,17.597815,Avery Zweckform,DIN A4 (210 x 297 mm),weiss,100,150
9902011,6.212917,Image,DIN A4 (210 x 297 mm),weiss,250,120
7972331,6.334003,Clairefontaine,DIN A4 (210 x 297 mm),weiss,250,160
10265801,29.904495,Papier Union,unknown,tuerkis,100,170
9167214,45.198467,Mondi,unknown,weiss,500,80
6880663,14.813231,Clairefontaine,DIN A4 (210 x 297 mm),blau,2500,80
2357769,14.931498,Mondi,DIN A3 (297 x 420 mm),lindengruen,500,80
3221375,8.64,Clairefontaine,DIN A4 (210 x 297 mm),rosa,500,80
